No. no geral,Título,Dirigido por,Escrito por,Data de exibição,Audiência (em milhões)
1,Pilot,Justin Roiland,Dan Harmon & Justin Roiland,2 de dezembro de 2013,1.10[1]
2,Lawnmower Dog,John Rice,Ryan Ridley,9 de dezembro de 2013,1.51[2]
3,Anatomy Park,John Rice,Eric Acosta & Wade Randolph,16 de dezembro de 2013,1.30[3]
4,M. Night Shaym-Aliens!,Jeff Myers,Tom Kauffman,13 de janeiro de 2014,1.32[4]
5,Meeseeks and Destroy,Bryan Newton,Ryan Ridley,20 de janeiro de 2014,1.61[5]
6,Rick Potion #9,Stephen Sandoval,Justin Roiland,27 de janeiro de 2014,1.75[6]
7,Raising Gazorpazorp,Jeff Myers,Eric Acosta & Wade Randolph,10 de março de 2014,1.76[7]
8,Rixty Minutes,Bryan Newton,Tom Kauffman & Justin Roiland,17 de março de 2014,1.48[8]
9,Something Ricked This Way Comes,John Rice,Mike McMahan,24 de março de 2014,1.54[9]
10,Close Rick-counters of the Rick Kind,Stephen Sandoval,Ryan Ridley,7 de abril de 2014,1.75[10]
11,Ricksy Business,Stephen Sandoval,Ryan Ridley & Tom Kauffman,14 de abril de 2014,2.13[11]
